scenario_id,mode,route_id,rank_static,rank_airpath,rank_shift_airpath_minus_static,material_rank_change
od_14,motorbike,motorbike-3,3,3,0,False
od_14,motorbike,motorbike-4,4,4,0,False
od_14,motorbike,motorbike-5,6,6,0,False
od_14,motorbike,motorbike-6,5,5,0,False
od_14,motorbike,motorbike-7,7,7,0,False
od_14,motorbike,motorbike-8,8,8,0,False
od_14,walking,walking-1,1,1,0,False
od_14,walking,walking-2,3,3,0,False
od_14,walking,walking-3,6,6,0,False
od_14,walking,walking-4,7,7,0,False
od_14,walking,walking-5,5,5,0,False
od_14,walking,walking-6,8,8,0,False
od_14,walking,walking-7,4,4,0,False
od_14,walking,walking-8,2,2,0,False
od_15,motorbike,motorbike-1,1,1,0,False
od_15,motorbike,motorbike-2,2,2,0,False
od_15,motorbike,motorbike-3,3,3,0,False
od_15,motorbike,motorbike-4,5,5,0,False
od_15,motorbike,motorbike-5,4,4,0,False
od_15,motorbike,motorbike-6,6,6,0,False
od_15,motorbike,motorbike-7,7,7,0,False
od_15,motorbike,motorbike-8,8,8,0,False
od_15,walking,walking-1,1,1,0,False
od_15,walking,walking-2,7,7,0,False
od_15,walking,walking-3,8,8,0,False
od_15,walking,walking-4,2,2,0,False
od_15,walking,walking-5,3,3,0,False
od_15,walking,walking-6,4,4,0,False
od_15,walking,walking-7,5,5,0,False
od_15,walking,walking-8,6,6,0,False
od_16,motorbike,motorbike-1,1,1,0,False
od_16,motorbike,motorbike-2,2,2,0,False
od_16,motorbike,motorbike-3,3,3,0,False
od_16,motorbike,motorbike-4,5,5,0,False
od_16,motorbike,motorbike-5,6,6,0,False
od_16,motorbike,motorbike-6,7,7,0,False
od_16,motorbike,motorbike-7,8,8,0,False
od_16,motorbike,motorbike-8,4,4,0,False
od_16,walking,walking-1,1,1,0,False
od_16,walking,walking-2,2,2,0,False
od_16,walking,walking-3,3,3,0,False
od_16,walking,walking-4,4,4,0,False
od_16,walking,walking-5,7,7,0,False
od_16,walking,walking-6,5,5,0,False
od_16,walking,walking-7,8,8,0,False
od_16,walking,walking-8,6,6,0,False
od_17,motorbike,motorbike-1,1,1,0,False
od_17,motorbike,motorbike-2,2,2,0,False
od_17,motorbike,motorbike-3,3,3,0,False
od_17,motorbike,motorbike-4,4,4,0,False
od_17,motorbike,motorbike-5,5,5,0,False
od_17,motorbike,motorbike-6,6,6,0,False
od_17,motorbike,motorbike-7,8,8,0,False
od_17,motorbike,motorbike-8,7,7,0,False
od_17,walking,walking-1,1,1,0,False
od_17,walking,walking-2,2,2,0,False
od_17,walking,walking-3,4,4,0,False
od_17,walking,walking-4,6,6,0,False
od_17,walking,walking-5,5,5,0,False
od_17,walking,walking-6,8,8,0,False
od_17,walking,walking-7,7,7,0,False
od_17,walking,walking-8,3,3,0,False
od_18,motorbike,motorbike-1,1,1,0,False
od_18,motorbike,motorbike-2,2,2,0,False
od_18,motorbike,motorbike-3,3,3,0,False
od_18,motorbike,motorbike-4,5,5,0,False
od_18,motorbike,motorbike-5,4,4,0,False
od_18,motorbike,motorbike-6,6,6,0,False
od_18,motorbike,motorbike-7,7,7,0,False
od_18,motorbike,motorbike-8,8,8,0,False
od_18,walking,walking-1,1,1,0,False
od_18,walking,walking-2,6,6,0,False
od_18,walking,walking-3,7,7,0,False
od_18,walking,walking-4,8,8,0,False
od_18,walking,walking-5,2,2,0,False
od_18,walking,walking-6,3,3,0,False
od_18,walking,walking-7,4,4,0,False
od_18,walking,walking-8,5,5,0,False
od_19,motorbike,motorbike-1,1,1,0,False
od_19,motorbike,motorbike-2,2,2,0,False
od_19,motorbike,motorbike-3,3,3,0,False
od_19,motorbike,motorbike-4,4,4,0,False
od_19,motorbike,motorbike-5,7,7,0,False
od_19,motorbike,motorbike-6,5,5,0,False
od_19,motorbike,motorbike-7,6,6,0,False
od_19,motorbike,motorbike-8,8,8,0,False
od_19,walking,walking-1,1,1,0,False
od_19,walking,walking-2,5,5,0,False
od_19,walking,walking-3,6,6,0,False
od_19,walking,walking-4,7,7,0,False
od_19,walking,walking-5,8,8,0,False
od_19,walking,walking-6,2,2,0,False
od_19,walking,walking-7,3,3,0,False
od_19,walking,walking-8,4,4,0,False
od_20,motorbike,motorbike-1,1,1,0,False
od_20,motorbike,motorbike-2,2,2,0,False
od_20,motorbike,motorbike-3,3,3,0,False
od_20,motorbike,motorbike-4,4,4,0,False
od_20,motorbike,motorbike-5,5,5,0,False
od_20,motorbike,motorbike-6,6,6,0,False
od_20,motorbike,motorbike-7,7,7,0,False
od_20,motorbike,motorbike-8,8,8,0,False
od_20,walking,walking-1,1,1,0,False
od_20,walking,walking-2,5,5,0,False
od_20,walking,walking-3,6,6,0,False
od_20,walking,walking-4,7,7,0,False
od_20,walking,walking-5,8,8,0,False
od_20,walking,walking-6,2,2,0,False
od_20,walking,walking-7,3,3,0,False
od_20,walking,walking-8,4,4,0,False
od_21,motorbike,motorbike-1,2,1,-1,True
od_21,motorbike,motorbike-2,1,2,1,True
od_21,motorbike,motorbike-3,3,3,0,False
od_21,motorbike,motorbike-4,4,4,0,False
