scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,static_exposure_index,airpath_exposure_index,oracle_exposure_index,absolute_exposure_difference_airpath_minus_static,percentage_exposure_difference_airpath_vs_static,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,evaluation_label,forecaster,exposure_framework_b
od_03,walking,walking-5,3439.2068658573476,41.27048239028817,156,1022.8186519296877,1018.7762970426579,1480.819182081938,-4.042354887029774,-0.395217165760843,0.014792899408284023,0.985207100591716,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,walking,walking-6,3671.8372304681416,44.0620467656177,159,1081.2811417835508,1090.1270224494115,1555.21125480296,8.845880665860705,0.8180925685312155,0.0,1.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,walking,walking-7,4047.1230223139096,48.56547626776692,194,1196.2832381037344,1202.6325629360495,1721.7840780541271,6.3493248323150056,0.530754308852435,0.11403508771929824,0.8859649122807017,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,walking,walking-8,3757.1125629603875,45.08535075552466,160,1113.7643258478759,1115.9593480224564,1606.9908926603644,2.195022174580572,0.19708138639739306,0.014619883040935672,0.9853801169590644,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-1,2879.1708152343526,6.910009956562447,177,169.71617640494185,171.85777125825084,243.18054346018135,2.1415948533089875,1.2618684315625601,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-2,2965.050267630812,7.116120642313948,147,176.2702341118345,175.72884715519012,255.0607738218652,-0.5413869566443736,-0.3071346443557176,0.0,1.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-3,3037.969810029627,7.291127544071104,132,179.97939688074638,180.65869163658982,259.0088558246882,0.6792947558434435,0.37742917668156284,0.04745762711864407,0.9525423728813559,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-4,3730.3427598280064,8.952822623587215,186,220.71275066705908,222.3532820019283,316.4751726685315,1.6405313348692232,0.7432879749407559,0.0,1.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-5,3722.69973823452,8.934479371762848,146,220.06778437180262,220.78189182929634,317.13584501645977,0.714107457493725,0.32449431866285644,0.015723270440251572,0.9842767295597484,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-6,4226.954621077359,10.144691090585662,221,251.90263899584494,250.13685760991825,365.6787048772996,-1.7657813859266867,-0.7009777241578691,0.0,1.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-7,4796.108130375025,11.51065951290006,224,284.37102921168025,287.51122793092054,406.1635314916653,3.1401987192402885,1.1042611225009091,0.007537688442211055,0.992462311557789,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_03,motorbike,motorbike-8,5295.943269727383,12.710263847345718,208,317.56937586667044,312.5628580775294,464.8070536785281,-5.006517789141014,-1.5765115183030023,0.005221932114882507,0.9947780678851175,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-1,5520.488372880517,66.24586047456621,193,1772.2768363622852,1677.735825769945,2526.171611879433,-94.54101059234017,-5.334438088486888,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-2,5675.2072322679305,68.10248678721517,179,1838.3118672697524,1733.5287241436647,2595.1196745098287,-104.78314312608768,-5.699965549464186,0.03910614525139665,0.9608938547486033,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-3,5963.5070839477185,71.56208500737262,180,1904.9565252460905,1810.4793796687575,2666.855658834742,-94.47714557733298,-4.959543397722844,0.04481792717086835,0.9551820728291317,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-4,6502.696264260247,78.03235517112297,245,2041.760455710194,1961.7861992260707,2798.515608257556,-79.97425648412332,-3.9169265062637106,0.006896551724137931,0.993103448275862,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-5,6661.096289052556,79.93315546863067,201,2163.233435654139,2051.480508208062,2922.1454482880254,-111.75292744607714,-5.166013320808544,0.2468354430379747,0.7531645569620253,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-6,5521.552651906517,66.2586318228782,193,1772.6213508366297,1678.0609967631221,2526.671250378259,-94.5603540735076,-5.3344925597831505,0.9693877551020408,0.030612244897959218,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-7,5522.649405426444,66.27179286511733,193,1772.991003026676,1678.4059654551868,2527.1918869963565,-94.58503757148924,-5.334772562862583,0.9794871794871794,0.02051282051282055,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,walking,walking-8,5522.945180980105,66.27534217176127,195,1772.9611592686483,1678.3681180086687,2526.823983041098,-94.5930412599796,-5.335313792153208,0.9595959595959596,0.04040404040404044,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-1,5531.617742970435,13.275882583129041,172,356.90094250604056,335.9191143168342,524.756402702522,-20.98182818920634,-5.878894026414969,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-2,5675.2072322679305,13.620497357443034,179,367.66237345395047,345.20136427653176,540.5624818113354,-22.461009177418703,-6.1091400151753446,0.04154302670623145,0.9584569732937686,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-3,5934.702314462292,14.2432855547095,192,377.97806294839216,357.70740062805737,559.147073506522,-20.270662320334793,-5.362920314003112,0.0196078431372549,0.9803921568627451,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-4,6507.253056448894,15.617407335477345,243,408.6516530405731,389.2734032478817,608.2883755289349,-19.378249792691406,-4.741997162744239,0.009732360097323601,0.9902676399026764,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-5,7455.686349722729,17.89364723933455,237,465.8551924140557,444.8676063327096,694.5119161233447,-20.98758608134608,-4.5051738014529095,0.007389162561576354,0.9926108374384236,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-6,8308.739262503555,19.94097423000853,286,527.2046164309985,497.320929591683,790.1049107294386,-29.883686839315487,-5.668327990300654,0.006593406593406593,0.9934065934065934,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_04,motorbike,motorbike-7,9058.58434508862,21.740602428212686,409,556.5184060867776,538.6457106461341,827.3179436603248,-17.872695440643497,-3.2115191959808453,0.006932409012131715,0.9930675909878682,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
