scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,route_id,rank,route_type,travel_time_minutes,additional_time_vs_fastest_minutes,distance_m,predicted_exposure_index,predicted_exposure_reduction_vs_fastest,oracle_exposure_index,oracle_exposure_reduction_vs_fastest,segment_count,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,available_feasible_alternatives,requested_alternative_count,fewer_than_requested_alternatives
od_03,motorbike,0.0,0.0,6.910009956562447,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,0,3,True
od_03,motorbike,1.0,0.14471759176704202,7.910009956562447,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,2,3,True
od_03,motorbike,1.0,0.14471759176704202,7.910009956562447,motorbike-2,1,AIRPATH alternative,7.116120642313948,0.2061106857515016,2965.050267630812,183.7931804631816,-4.447163547719896,255.0607738218652,-11.880230361683857,147,0.0,1.0,2,3,True
od_03,motorbike,1.0,0.14471759176704202,7.910009956562447,motorbike-3,2,AIRPATH alternative,7.291127544071104,0.38111758750865743,3037.969810029627,188.7246964104048,-9.378679494943071,259.0088558246882,-15.828312364506871,132,0.04745762711864407,0.9525423728813559,2,3,True
od_03,motorbike,2.0,0.28943518353408404,8.910009956562448,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,2,3,True
od_03,motorbike,2.0,0.28943518353408404,8.910009956562448,motorbike-2,1,AIRPATH alternative,7.116120642313948,0.2061106857515016,2965.050267630812,183.7931804631816,-4.447163547719896,255.0607738218652,-11.880230361683857,147,0.0,1.0,2,3,True
od_03,motorbike,2.0,0.28943518353408404,8.910009956562448,motorbike-3,2,AIRPATH alternative,7.291127544071104,0.38111758750865743,3037.969810029627,188.7246964104048,-9.378679494943071,259.0088558246882,-15.828312364506871,132,0.04745762711864407,0.9525423728813559,2,3,True
od_03,motorbike,3.0,0.4341527753011261,9.910009956562448,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,4,3,False
od_03,motorbike,3.0,0.4341527753011261,9.910009956562448,motorbike-2,1,AIRPATH alternative,7.116120642313948,0.2061106857515016,2965.050267630812,183.7931804631816,-4.447163547719896,255.0607738218652,-11.880230361683857,147,0.0,1.0,4,3,False
od_03,motorbike,3.0,0.4341527753011261,9.910009956562448,motorbike-3,2,AIRPATH alternative,7.291127544071104,0.38111758750865743,3037.969810029627,188.7246964104048,-9.378679494943071,259.0088558246882,-15.828312364506871,132,0.04745762711864407,0.9525423728813559,4,3,False
od_03,motorbike,3.0,0.4341527753011261,9.910009956562448,motorbike-5,3,AIRPATH alternative,8.934479371762848,2.024469415200401,3722.69973823452,230.85936191084252,-51.513344995380805,317.13584501645977,-73.95530155627841,146,0.015723270440251572,0.9842767295597484,4,3,False
od_03,motorbike,5.0,0.7235879588352102,11.910009956562448,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,6,3,False
od_03,motorbike,5.0,0.7235879588352102,11.910009956562448,motorbike-2,1,AIRPATH alternative,7.116120642313948,0.2061106857515016,2965.050267630812,183.7931804631816,-4.447163547719896,255.0607738218652,-11.880230361683857,147,0.0,1.0,6,3,False
od_03,motorbike,5.0,0.7235879588352102,11.910009956562448,motorbike-3,2,AIRPATH alternative,7.291127544071104,0.38111758750865743,3037.969810029627,188.7246964104048,-9.378679494943071,259.0088558246882,-15.828312364506871,132,0.04745762711864407,0.9525423728813559,6,3,False
od_03,motorbike,5.0,0.7235879588352102,11.910009956562448,motorbike-5,3,AIRPATH alternative,8.934479371762848,2.024469415200401,3722.69973823452,230.85936191084252,-51.513344995380805,317.13584501645977,-73.95530155627841,146,0.015723270440251572,0.9842767295597484,6,3,False
od_03,motorbike,10.0,1.4471759176704204,16.910009956562448,motorbike-1,0,fastest,6.910009956562447,0.0,2879.1708152343526,179.34601691546172,0.0,243.18054346018135,0.0,177,1.0,0.0,7,3,False
od_03,motorbike,10.0,1.4471759176704204,16.910009956562448,motorbike-2,1,AIRPATH alternative,7.116120642313948,0.2061106857515016,2965.050267630812,183.7931804631816,-4.447163547719896,255.0607738218652,-11.880230361683857,147,0.0,1.0,7,3,False
od_03,motorbike,10.0,1.4471759176704204,16.910009956562448,motorbike-3,2,AIRPATH alternative,7.291127544071104,0.38111758750865743,3037.969810029627,188.7246964104048,-9.378679494943071,259.0088558246882,-15.828312364506871,132,0.04745762711864407,0.9525423728813559,7,3,False
od_03,motorbike,10.0,1.4471759176704204,16.910009956562448,motorbike-5,3,AIRPATH alternative,8.934479371762848,2.024469415200401,3722.69973823452,230.85936191084252,-51.513344995380805,317.13584501645977,-73.95530155627841,146,0.015723270440251572,0.9842767295597484,7,3,False
od_03,walking,0.0,0.0,34.422845694421525,walking-1,0,fastest,34.422845694421525,0.0,2868.5704745351272,893.4653089473137,0.0,1211.7332515188175,0.0,187,1.0,0.0,0,3,True
od_03,walking,1.0,0.02905047446911274,35.422845694421525,walking-1,0,fastest,34.422845694421525,0.0,2868.5704745351272,893.4653089473137,0.0,1211.7332515188175,0.0,187,1.0,0.0,1,3,True
od_03,walking,1.0,0.02905047446911274,35.422845694421525,walking-2,1,AIRPATH alternative,35.386219637387526,0.9633739429660011,2948.8516364489606,913.9498344432309,-20.484525495917183,1268.1773322798263,-56.44408076100876,139,0.0,1.0,1,3,True
