scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,feasible_route_count,feasible_alternative_count,fastest_route_id,predicted_optimal_route_id,oracle_optimal_route_id,predicted_optimal_travel_time_minutes,predicted_optimal_additional_time_minutes,predicted_optimal_predicted_exposure,predicted_optimal_oracle_exposure,predicted_exposure_reduction_vs_fastest,oracle_exposure_reduction_vs_fastest,oracle_exposure_fastest,oracle_exposure_oracle_optimal,decision_regret,oracle_optimal_agreement
od_03,walking,1.0,0.02905047446911274,35.422845694421525,2,1,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
od_03,walking,2.0,0.05810094893822548,36.422845694421525,3,2,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
od_03,walking,3.0,0.08715142340733822,37.422845694421525,3,2,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
od_03,walking,5.0,0.1452523723455637,39.422845694421525,3,2,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
od_03,walking,10.0,0.2905047446911274,44.422845694421525,6,5,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
od_04,motorbike,0.0,0.0,13.275882583129041,1,0,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
od_04,motorbike,1.0,0.07532455893145647,14.275882583129041,3,2,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
od_04,motorbike,2.0,0.15064911786291293,15.275882583129041,3,2,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
od_04,motorbike,3.0,0.22597367679436942,16.27588258312904,4,3,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
od_04,motorbike,5.0,0.3766227946572823,18.27588258312904,5,4,motorbike-1,motorbike-1,motorbike-1,13.275882583129041,0.0,347.2539257313144,524.756402702522,0.0,0.0,524.756402702522,524.756402702522,0.0,True
