scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,fastest_time_minutes,maximum_feasible_time_minutes,route_id,travel_time_minutes,is_feasible
od_06,walking,2.0,0.047116047604281654,42.44838227513487,44.44838227513487,walking-7,42.45950208551215,True
od_06,walking,2.0,0.047116047604281654,42.44838227513487,44.44838227513487,walking-8,42.460632084237346,True
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-1,42.44838227513487,True
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-2,43.733895047857935,True
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-3,46.34193328567817,False
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-4,51.24663119792057,False
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-5,54.664304900018735,False
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-6,42.44951227386006,True
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-7,42.45950208551215,True
od_06,walking,3.0,0.07067407140642248,42.44838227513487,45.44838227513487,walking-8,42.460632084237346,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-1,42.44838227513487,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-2,43.733895047857935,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-3,46.34193328567817,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-4,51.24663119792057,False
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-5,54.664304900018735,False
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-6,42.44951227386006,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-7,42.45950208551215,True
od_06,walking,5.0,0.11779011901070413,42.44838227513487,47.44838227513487,walking-8,42.460632084237346,True
