scenario_id,mode,route_a,route_b,edge_jaccard
od_04,motorbike,motorbike-4,motorbike-6,0.013409961685823755
od_04,motorbike,motorbike-4,motorbike-7,0.0171606864274571
od_04,motorbike,motorbike-4,motorbike-8,0.00792393026941363
od_04,motorbike,motorbike-5,motorbike-6,0.01160541586073501
od_04,motorbike,motorbike-5,motorbike-7,0.009375
od_04,motorbike,motorbike-5,motorbike-8,0.016129032258064516
od_04,motorbike,motorbike-6,motorbike-7,0.004335260115606936
od_04,motorbike,motorbike-6,motorbike-8,0.013432835820895522
od_04,motorbike,motorbike-7,motorbike-8,0.005012531328320802
od_05,walking,walking-1,walking-2,0.01642710472279261
od_05,walking,walking-1,walking-3,0.014842300556586271
od_05,walking,walking-1,walking-4,0.018281535648994516
od_05,walking,walking-1,walking-5,0.9840637450199203
od_05,walking,walking-1,walking-6,0.9840637450199203
od_05,walking,walking-1,walking-7,0.9683794466403162
od_05,walking,walking-1,walking-8,0.9840637450199203
od_05,walking,walking-2,walking-3,0.044145873320537425
od_05,walking,walking-2,walking-4,0.007272727272727273
od_05,walking,walking-2,walking-5,0.01642710472279261
od_05,walking,walking-2,walking-6,0.01642710472279261
od_05,walking,walking-2,walking-7,0.01642710472279261
od_05,walking,walking-2,walking-8,0.01642710472279261
od_05,walking,walking-3,walking-4,0.004975124378109453
od_05,walking,walking-3,walking-5,0.014842300556586271
od_05,walking,walking-3,walking-6,0.014842300556586271
od_05,walking,walking-3,walking-7,0.014842300556586271
od_05,walking,walking-3,walking-8,0.014842300556586271
od_05,walking,walking-4,walking-5,0.018281535648994516
od_05,walking,walking-4,walking-6,0.018281535648994516
od_05,walking,walking-4,walking-7,0.018281535648994516
od_05,walking,walking-4,walking-8,0.018281535648994516
od_05,walking,walking-5,walking-6,0.9683794466403162
od_05,walking,walking-5,walking-7,0.9840637450199203
od_05,walking,walking-5,walking-8,0.9683794466403162
od_05,walking,walking-6,walking-7,0.9840637450199203
od_05,walking,walking-6,walking-8,0.9683794466403162
od_05,walking,walking-7,walking-8,0.9529411764705882
od_05,motorbike,motorbike-1,motorbike-2,0.05189620758483034
od_05,motorbike,motorbike-1,motorbike-3,0.048
od_05,motorbike,motorbike-1,motorbike-4,0.04222648752399232
od_05,motorbike,motorbike-1,motorbike-5,0.008665511265164644
od_05,motorbike,motorbike-1,motorbike-6,0.0015479876160990713
od_05,motorbike,motorbike-1,motorbike-7,0.004470938897168405
od_05,motorbike,motorbike-1,motorbike-8,0.0013531799729364006
od_05,motorbike,motorbike-2,motorbike-3,0.03290676416819013
od_05,motorbike,motorbike-2,motorbike-4,0.008635578583765112
od_05,motorbike,motorbike-2,motorbike-5,0.004838709677419355
od_05,motorbike,motorbike-2,motorbike-6,0.0
od_05,motorbike,motorbike-2,motorbike-7,0.0014005602240896359
od_05,motorbike,motorbike-2,motorbike-8,0.0025673940949935813
od_05,motorbike,motorbike-3,motorbike-4,0.008680555555555556
od_05,motorbike,motorbike-3,motorbike-5,0.011419249592169658
od_05,motorbike,motorbike-3,motorbike-6,0.008836524300441826
od_05,motorbike,motorbike-3,motorbike-7,0.004231311706629055
od_05,motorbike,motorbike-3,motorbike-8,0.01038961038961039
od_05,motorbike,motorbike-4,motorbike-5,0.01589825119236884
od_05,motorbike,motorbike-4,motorbike-6,0.0042796005706134095
od_05,motorbike,motorbike-4,motorbike-7,0.006887052341597796
od_05,motorbike,motorbike-4,motorbike-8,0.003778337531486146
od_05,motorbike,motorbike-5,motorbike-6,0.002699055330634278
od_05,motorbike,motorbike-5,motorbike-7,0.003911342894393742
od_05,motorbike,motorbike-5,motorbike-8,0.007228915662650603
od_05,motorbike,motorbike-6,motorbike-7,0.009673518742442563
od_05,motorbike,motorbike-6,motorbike-8,0.0067039106145251395
od_05,motorbike,motorbike-7,motorbike-8,0.009793253536452665
od_06,walking,walking-1,walking-2,0.06493506493506493
od_06,walking,walking-1,walking-3,0.029498525073746312
od_06,walking,walking-1,walking-4,0.003048780487804878
od_06,walking,walking-1,walking-5,0.0
od_06,walking,walking-1,walking-6,0.9473684210526315
od_06,walking,walking-1,walking-7,0.9733333333333334
od_06,walking,walking-1,walking-8,0.922077922077922
od_06,walking,walking-2,walking-3,0.058333333333333334
od_06,walking,walking-2,walking-4,0.0
od_06,walking,walking-2,walking-5,0.0
od_06,walking,walking-2,walking-6,0.06840390879478828
od_06,walking,walking-2,walking-7,0.06493506493506493
od_06,walking,walking-2,walking-8,0.06840390879478828
od_06,walking,walking-3,walking-4,0.0
od_06,walking,walking-3,walking-5,0.0022988505747126436
od_06,walking,walking-3,walking-6,0.03254437869822485
od_06,walking,walking-3,walking-7,0.029498525073746312
od_06,walking,walking-3,walking-8,0.03254437869822485
od_06,walking,walking-4,walking-5,0.0
od_06,walking,walking-4,walking-6,0.003048780487804878
od_06,walking,walking-4,walking-7,0.003048780487804878
od_06,walking,walking-4,walking-8,0.003048780487804878
od_06,walking,walking-5,walking-6,0.0
od_06,walking,walking-5,walking-7,0.0
od_06,walking,walking-5,walking-8,0.0
od_06,walking,walking-6,walking-7,0.922077922077922
od_06,walking,walking-6,walking-8,0.9733333333333334
od_06,walking,walking-7,walking-8,0.9473684210526315
od_06,motorbike,motorbike-1,motorbike-2,0.1941747572815534
od_06,motorbike,motorbike-1,motorbike-3,0.02857142857142857
od_06,motorbike,motorbike-1,motorbike-4,0.0
od_06,motorbike,motorbike-1,motorbike-5,0.01366120218579235
od_06,motorbike,motorbike-1,motorbike-6,0.0024813895781637717
od_06,motorbike,motorbike-1,motorbike-7,0.0
od_06,motorbike,motorbike-1,motorbike-8,0.0
od_06,motorbike,motorbike-2,motorbike-3,0.04748603351955307
od_06,motorbike,motorbike-2,motorbike-4,0.0
od_06,motorbike,motorbike-2,motorbike-5,0.005208333333333333
od_06,motorbike,motorbike-2,motorbike-6,0.0023923444976076554
od_06,motorbike,motorbike-2,motorbike-7,0.0
od_06,motorbike,motorbike-2,motorbike-8,0.0
od_06,motorbike,motorbike-3,motorbike-4,0.0
od_06,motorbike,motorbike-3,motorbike-5,0.04143646408839779
