scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,oracle_exposure_index,predicted_exposure_index,exposure_difference,absolute_exposure_error,percentage_difference,absolute_percentage_error,mean_nearest_station_distance_km,max_nearest_station_distance_km,mean_effective_station_count,moderate_or_weak_segment_fraction,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest
od_03,walking,walking-5,3439.2068658573476,41.27048239028817,156,1480.819182081938,1065.632602863319,-415.1865792186188,415.1865792186188,-28.037628377753236,28.037628377753236,2.355483010879057,2.7035745591857254,4.38071856473101,0.0,0.014792899408284023,0.985207100591716
od_03,walking,walking-6,3671.8372304681416,44.0620467656177,159,1555.21125480296,1139.520299091475,-415.690955711485,415.690955711485,-26.72890608447607,26.72890608447607,1.8957519701365844,2.6563854034862326,3.981329362699581,0.0,0.0,1.0
od_03,walking,walking-7,4047.1230223139096,48.56547626776692,194,1721.7840780541271,1256.7215487027315,-465.0625293513956,465.0625293513956,-27.010502378264853,27.010502378264853,1.9717586803785292,2.582264999051276,4.068061382741349,0.0,0.11403508771929824,0.8859649122807017
od_03,walking,walking-8,3757.1125629603875,45.08535075552466,160,1606.9908926603644,1166.3581203060085,-440.6327723543559,440.6327723543559,-27.41974297221379,27.41974297221379,2.0671000048856856,2.6563854034862326,4.133193154458245,0.0,0.014619883040935672,0.9853801169590644
od_03,motorbike,motorbike-1,2879.1708152343526,6.910009956562447,177,243.18054346018135,179.34601691546172,-63.83452654471964,63.83452654471964,-26.249849447832972,26.249849447832972,1.8028674505052262,2.582264999051276,3.8680478820914503,0.0,1.0,0.0
od_03,motorbike,motorbike-2,2965.050267630812,7.116120642313948,147,255.0607738218652,183.7931804631816,-71.2675933586836,71.2675933586836,-27.941416585075125,27.941416585075125,2.2548710037825006,2.6563854034862326,4.30624487046668,0.0,0.0,1.0
od_03,motorbike,motorbike-3,3037.969810029627,7.291127544071104,132,259.0088558246882,188.7246964104048,-70.28415941428344,70.28415941428344,-27.135813248739154,27.135813248739154,1.994460930425003,2.582264999051276,4.087424715446707,0.0,0.04745762711864407,0.9525423728813559
od_03,motorbike,motorbike-4,3730.3427598280064,8.952822623587215,186,316.4751726685315,232.07505464687674,-84.40011802165478,84.40011802165478,-26.668795946926753,26.668795946926753,1.8733980793515308,2.619173952723309,3.975216447291248,0.0,0.0,1.0
od_03,motorbike,motorbike-5,3722.69973823452,8.934479371762848,146,317.13584501645977,230.85936191084252,-86.27648310561725,86.27648310561725,-27.204897983430218,27.204897983430218,2.1202447391431707,2.582264999051276,4.208377761220971,0.0,0.015723270440251572,0.9842767295597484
od_03,motorbike,motorbike-6,4226.954621077359,10.144691090585662,221,365.6787048772996,261.74750139510337,-103.93120348219622,103.93120348219622,-28.4214536137863,28.4214536137863,2.4618633997506802,2.9029005161383763,4.434847185398852,0.0,0.0,1.0
od_03,motorbike,motorbike-7,4796.108130375025,11.51065951290006,224,406.1635314916653,299.490820906847,-106.67271058481833,106.67271058481833,-26.263488056905306,26.263488056905306,1.7471448792232767,2.8020222127474255,3.7791960896462826,0.15178571428571427,0.007537688442211055,0.992462311557789
od_03,motorbike,motorbike-8,5295.943269727383,12.710263847345718,208,464.8070536785281,327.4005458288294,-137.4065078496987,137.4065078496987,-29.56205306314744,29.56205306314744,2.7463282911074134,3.3409602490105694,4.512267960993294,0.0,0.005221932114882507,0.9947780678851175
od_04,walking,walking-1,5520.488372880517,66.24586047456621,193,2526.171611879433,1734.6168637377984,-791.5547481416345,791.5547481416345,-31.334163697324186,31.334163697324186,3.0470241055615075,3.886340431347422,4.48854093844076,0.025906735751295335,1.0,0.0
od_04,walking,walking-2,5675.2072322679305,68.10248678721517,179,2595.1196745098287,1787.4569304812753,-807.6627440285533,807.6627440285533,-31.122369883813015,31.122369883813015,2.948979302381572,4.1890240681983775,4.404648108741239,0.03910614525139665,0.03910614525139665,0.9608938547486033
od_04,walking,walking-3,5963.5070839477185,71.56208500737262,180,2666.855658834742,1872.9746964372562,-793.8809623974857,793.8809623974857,-29.768426340117887,29.768426340117887,2.929248919291195,3.6467941406265325,4.430956512529333,0.03333333333333333,0.04481792717086835,0.9551820728291317
od_04,walking,walking-4,6502.696264260247,78.03235517112297,245,2798.515608257556,2036.832998067902,-761.6826101896538,761.6826101896538,-27.217379382918697,27.217379382918697,2.5219032985024237,3.3522744220269067,4.23777505262025,0.07755102040816327,0.006896551724137931,0.993103448275862
od_04,walking,walking-5,6661.096289052556,79.93315546863067,201,2922.1454482880254,2108.7316415456908,-813.4138067423346,813.4138067423346,-27.83618478740964,27.83618478740964,3.0714337618102574,3.889509834707674,4.487658392615472,0.024875621890547265,0.2468354430379747,0.7531645569620253
od_04,walking,walking-6,5521.552651906517,66.2586318228782,193,2526.671250378259,1734.952151495292,-791.7190988829673,791.7190988829673,-31.334472134609587,31.334472134609587,3.0470715136121056,3.886340431347422,4.48855066720882,0.025906735751295335,0.9693877551020408,0.030612244897959218
od_04,walking,walking-7,5522.649405426444,66.27179286511733,193,2527.1918869963565,1735.3027350375714,-791.8891519587851,791.8891519587851,-31.334745732345997,31.334745732345997,3.047228152863189,3.886340431347422,4.488569197442131,0.025906735751295335,0.9794871794871794,0.02051282051282055
od_04,walking,walking-8,5522.945180980105,66.27534217176127,195,2526.823983041098,1735.321102971851,-791.5028800692471,791.5028800692471,-31.324021197418464,31.324021197418464,3.032251036136325,3.886340431347422,4.474600141866627,0.035897435897435895,0.9595959595959596,0.04040404040404044
od_04,motorbike,motorbike-1,5531.617742970435,13.275882583129041,172,524.756402702522,347.2539257313144,-177.5024769712076,177.5024769712076,-33.82569055985994,33.82569055985994,3.0611467638433725,3.9912743235648427,4.4485597038758735,0.029069767441860465,1.0,0.0
od_04,motorbike,motorbike-2,5675.2072322679305,13.620497357443034,179,540.5624818113354,356.4700851629757,-184.09239664835968,184.09239664835968,-34.05571101262828,34.05571101262828,2.948979302381572,4.1890240681983775,4.404648108741239,0.03910614525139665,0.04154302670623145,0.9584569732937686
od_04,motorbike,motorbike-3,5934.702314462292,14.2432855547095,192,559.147073506522,371.1191371306269,-188.02793637589514,188.02793637589514,-33.627634889821515,33.627634889821515,2.9331374900131006,3.6467941406265325,4.450028489997916,0.03125,0.0196078431372549,0.9803921568627451
od_04,motorbike,motorbike-4,6507.253056448894,15.617407335477345,243,608.2883755289349,405.3963195410847,-202.8920559878502,202.8920559878502,-33.35458380433888,33.35458380433888,2.5233520615028016,3.3522744220269067,4.23528158900796,0.07818930041152264,0.009732360097323601,0.9902676399026764
od_04,motorbike,motorbike-5,7455.686349722729,17.89364723933455,237,694.5119161233447,463.8006151261439,-230.7113009972008,230.7113009972008,-33.219199792135264,33.219199792135264,2.470979461583402,3.2112821139124756,4.183480500887309,0.16455696202531644,0.007389162561576354,0.9926108374384236
od_04,motorbike,motorbike-6,8308.739262503555,19.94097423000853,286,790.1049107294386,517.5095279489417,-272.59538278049695,272.59538278049695,-34.50116295680685,34.50116295680685,2.664192919780129,3.732470706662316,4.180742760657817,0.17132867132867133,0.006593406593406593,0.9934065934065934
