scenario_id,route_id,mode,pipeline_mode,segment_index,segment_id,eta,mapped_target_time,mapping_method,forecast_horizon_hours,latitude,longitude,segment_duration_minutes,pm25_estimate,exposure_contribution,contribution_fraction,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,effective_station_count,reliability_status
s2_to_s6,walking-1,walking,predicted_exposure,263,32586914:6:r,2022-02-28T07:11:36.945823927,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.77456655,106.6541881,1.3503308464654693,26.06032769789774,35.19006435946977,0.016539876033435878,0.8732155225395791,3.678050568289174,6,0.589889852522056,2.5739513749810583,supported
s2_to_s6,walking-2,walking,oracle_exposure,268,32586914:1:r,2022-02-28T07:14:38.887252461,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.776372949999999,106.65547955,2.0818490758905823,28.238055922738155,58.78737062769901,0.01918499788196816,0.6297305923289624,3.5315219441475647,6,0.663376946854911,2.1384788806106005,supported
s2_to_s6,walking-2,walking,oracle_exposure,63,715882473:6:r,2022-02-28T06:16:01.454163127,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74858525,106.62715535000001,1.3863577093735666,42.403247712097524,58.78606936814345,0.019184573221678873,1.3841416185615065,5.002290652136688,6,0.5489574151252755,2.8553649822442857,moderate reliability
s2_to_s6,walking-2,walking,oracle_exposure,83,456799182:0:f,2022-02-28T06:24:01.826803107,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.75239415,106.63117055000001,1.4179178942292572,40.37526749368529,57.24881426358923,0.018682896830814377,1.991332678686646,4.392692410904776,6,0.4377442111822203,3.7113044092009955,supported
s2_to_s6,walking-2,walking,oracle_exposure,58,715882473:11:r,2022-02-28T06:13:37.042141652,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7474713,106.6257115,1.2998567441073434,43.20727200188111,56.16326390612556,0.018328632282386053,1.1835933428689263,5.201408844415851,6,0.5934378592389805,2.5536005269480393,moderate reliability
s2_to_s6,walking-2,walking,oracle_exposure,27,612501703:1:r,2022-02-28T06:07:02.651330867,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74430045,106.6219586,1.1933298924651696,45.83291806438602,54.6937911851387,0.017849076372014043,0.6442636938476133,5.740851250824855,6,0.7410430042879225,1.7702416838300465,supported
s2_to_s6,walking-2,walking,predicted_exposure,268,32586914:1:r,2022-02-28T07:14:38.887252461,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.776372949999999,106.65547955,2.0818490758905823,26.058269945081012,54.24938520447424,0.025495382656275288,0.6297305923289624,3.5315219441475647,6,0.663376946854911,2.1384788806106005,supported
s2_to_s6,walking-2,walking,predicted_exposure,280,680569918:6:f,2022-02-28T07:21:22.068786073,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.7801838,106.6584301,1.8409703620664117,26.088197598689945,48.02759857892032,0.022571352637754265,0.11674219152351317,3.2371556583288035,6,0.9117401403467864,1.2001747454759668,supported
s2_to_s6,walking-2,walking,predicted_exposure,275,680569918:1:f,2022-02-28T07:18:00.001755241,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.77831525,106.656703,1.5606569718071899,26.067860455422515,40.682988159852094,0.019119633279283694,0.38477310431000394,3.4047736302723672,6,0.7611361583789097,1.6854045162543247,supported
s2_to_s6,walking-2,walking,predicted_exposure,83,456799182:0:f,2022-02-28T06:24:01.826803107,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.75239415,106.63117055000001,1.4179178942292572,25.34843947958064,35.94200592888475,0.016891531418045544,1.991332678686646,4.392692410904776,6,0.4377442111822203,3.7113044092009955,supported
s2_to_s6,walking-2,walking,predicted_exposure,263,32586914:6:r,2022-02-28T07:11:36.945823927,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.77456655,106.6541881,1.3503308464654693,26.06032769789774,35.19006435946977,0.016538144223423222,0.8732155225395791,3.678050568289174,6,0.589889852522056,2.5739513749810583,supported
s2_to_s6,walking-3,walking,oracle_exposure,269,32586914:1:r,2022-02-28T07:14:39.812845641,2022-02-28T08:00:00,ceiling_to_next_hour_no_interpolation,3,10.776372949999999,106.65547955,2.0818490758905823,28.238055922738155,58.78737062769901,0.019182739357778256,0.6297305923289624,3.5315219441475647,6,0.663376946854911,2.1384788806106005,supported
s2_to_s6,walking-3,walking,oracle_exposure,63,715882473:6:r,2022-02-28T06:16:01.454163127,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74858525,106.62715535000001,1.3863577093735666,42.403247712097524,58.78606936814345,0.019182314747481444,1.3841416185615065,5.002290652136688,6,0.5489574151252755,2.8553649822442857,moderate reliability
