perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,top1_agreement,top3_overlap_count,top3_overlap_fraction,selected_travel_time_difference_minutes,selected_predicted_exposure_difference,selected_oracle_exposure_difference,baseline_decision_regret,perturbed_decision_regret,decision_regret_difference
0.8,2022-02-27T06:00:00,od_12,walking,5.0,True,3,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,walking,10.0,True,3,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,0.0,True,1,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,1.0,True,2,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,2.0,True,2,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,3.0,True,3,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,5.0,True,3,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,motorbike,10.0,True,3,1.0,0.0,-82.93890064764207,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,0.0,True,1,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,1.0,True,3,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,2.0,True,3,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,3.0,True,3,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,5.0,True,3,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_13,walking,10.0,True,3,1.0,0.0,-395.03828132735134,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,0.0,True,1,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,1.0,True,3,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,2.0,True,3,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,3.0,True,3,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,5.0,True,3,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,motorbike,10.0,True,3,1.0,0.0,-41.640519003354626,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,0.0,True,1,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,1.0,True,2,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,2.0,True,3,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,3.0,True,3,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,5.0,True,3,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_14,walking,10.0,True,3,1.0,0.0,-235.64686171423227,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,0.0,True,1,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,1.0,True,1,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,2.0,True,2,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,3.0,True,2,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,5.0,True,3,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,motorbike,10.0,True,3,1.0,0.0,-88.73055374260343,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,walking,0.0,True,1,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,walking,1.0,True,3,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,walking,2.0,True,3,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_15,walking,3.0,True,3,1.0,0.0,-365.72661733857353,0.0,0.0,0.0,0.0
