perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,route_id,rank,route_type,travel_time_minutes,predicted_exposure_index,oracle_exposure_index,available_feasible_alternatives,fewer_than_requested_alternatives
0.8,2022-02-27T06:00:00,od_04,motorbike,10.0,motorbike-2,1,AIRPATH alternative,13.620497357443034,292.4684451698737,434.63146725507806,6,False
0.8,2022-02-27T06:00:00,od_04,motorbike,10.0,motorbike-3,2,AIRPATH alternative,14.2432855547095,301.98611800717924,447.5537437992201,6,False
0.8,2022-02-27T06:00:00,od_04,motorbike,10.0,motorbike-4,3,AIRPATH alternative,15.617407335477344,327.404048693105,484.2592056408615,6,False
0.8,2022-02-27T06:00:00,od_04,walking,0.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,0,True
0.8,2022-02-27T06:00:00,od_04,walking,1.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,3,False
0.8,2022-02-27T06:00:00,od_04,walking,1.0,walking-6,1,AIRPATH alternative,66.2586318228782,1410.879473950174,2080.308731644741,3,False
0.8,2022-02-27T06:00:00,od_04,walking,1.0,walking-8,2,AIRPATH alternative,66.27534217176127,1411.0830977332857,2080.430769770736,3,False
0.8,2022-02-27T06:00:00,od_04,walking,1.0,walking-7,3,AIRPATH alternative,66.27179286511733,1411.17433392351,2080.7530643277955,3,False
0.8,2022-02-27T06:00:00,od_04,walking,2.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,4,False
0.8,2022-02-27T06:00:00,od_04,walking,2.0,walking-6,1,AIRPATH alternative,66.2586318228782,1410.879473950174,2080.308731644741,4,False
0.8,2022-02-27T06:00:00,od_04,walking,2.0,walking-8,2,AIRPATH alternative,66.27534217176127,1411.0830977332857,2080.430769770736,4,False
0.8,2022-02-27T06:00:00,od_04,walking,2.0,walking-7,3,AIRPATH alternative,66.27179286511733,1411.17433392351,2080.7530643277955,4,False
0.8,2022-02-27T06:00:00,od_04,walking,3.0,walking-1,0,fastest,66.24586047456621,1410.6034203995641,2079.897575023483,4,False
0.8,2022-02-27T06:00:00,od_04,walking,3.0,walking-6,1,AIRPATH alternative,66.2586318228782,1410.879473950174,2080.308731644741,4,False
