summary_level,perturbation_scale,cases,top1_agreement_rate,mean_top3_overlap_fraction,mean_abs_travel_time_difference_minutes,mean_abs_predicted_exposure_difference,mean_decision_regret_difference,mode,delta_time_allowed_minutes
mode_tolerance,1.1,150,1.0,1.0,0.0,101.78511734897268,0.0,walking,5.0
mode_tolerance,1.1,150,1.0,1.0,0.0,101.78511734897268,0.0,walking,10.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.543876782377424,0.0,motorbike,0.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,1.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,2.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,3.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,5.0
mode_tolerance,1.2,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,10.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.58999607670438,0.0,walking,0.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.57878331782302,0.0,walking,1.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.57023469794515,0.0,walking,2.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.57023469794515,0.0,walking,3.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.57023469794515,0.0,walking,5.0
mode_tolerance,1.2,150,1.0,1.0,0.0,203.57023469794515,0.0,walking,10.0
