scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,static_exposure_index,airpath_exposure_index,oracle_exposure_index,absolute_exposure_difference_airpath_minus_static,percentage_exposure_difference_airpath_vs_static,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,evaluation_label,forecaster,exposure_framework_b,departure_time,forecasting_origin,clock_time
od_02,motorbike,motorbike-2,4179.665283735303,10.031196680964728,132,292.15810713666235,274.87402040844853,332.1004748499557,-17.284086728213822,-5.916004487299362,0.0307692307692307,0.9692307692307692,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-3,4206.177077687737,10.094824986450568,116,305.9610309237875,284.070242756258,345.17215260707724,-21.890788167529536,-7.154763500905564,0.05,0.95,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-4,4662.852950896125,11.190847082150698,153,328.11999367560566,308.11612961645807,372.3580026610861,-20.00386405914759,-6.096508729950885,0.0104895104895104,0.9895104895104896,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-5,4794.898408301863,11.507756179924469,170,352.5454706140688,326.07812050406875,397.097508036408,-26.46735011000004,-7.507499689018506,0.0372881355932203,0.9627118644067796,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-6,5404.728891443751,12.971349339465004,211,382.8458525622062,358.82699436452407,433.75414450182393,-24.018858197682107,-6.273767375808109,0.0087209302325581,0.9912790697674418,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-7,5018.097801026264,12.043434722463036,172,384.4268115015858,350.53577415782894,430.3403313147576,-33.891037343756864,-8.81599210299021,0.0335570469798657,0.9664429530201344,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-8,6275.567685737707,15.061362445770497,241,431.9299353434944,408.6982697570692,492.2219066565805,-23.23166558642521,-5.378572700211231,0.0053333333333333,0.9946666666666668,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_03,walking,walking-1,2868.5704745351272,34.422845694421525,187,906.7909093656032,879.5624445080053,1057.0217973896242,-27.228464857597828,-3.002728035357902,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_03,walking,walking-2,2948.851636448961,35.386219637387526,139,932.102293068659,908.0101009562682,1081.036503656086,-24.09219211239088,-2.584715464337586,0.0,1.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_03,walking,walking-3,3018.080756930005,36.21696908316007,126,955.144564713449,928.331913831943,1109.911639733962,-26.812650881505988,-2.8071824802301,0.0296052631578947,0.9703947368421052,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
